Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
01.05.2022;2022-05-01 15:00:00.000;11 490;Точка продаж 19
01.05.2022;2022-05-01 15:30:00.000;7 775;Точка продаж 19
01.05.2022;2022-05-01 16:00:00.000;6 657,5;Точка продаж 19
01.05.2022;2022-05-01 16:30:00.000;6 457,5;Точка продаж 19
01.05.2022;2022-05-01 17:00:00.000;10 450;Точка продаж 19
01.05.2022;2022-05-01 17:30:00.000;7 910;Точка продаж 19
01.05.2022;2022-05-01 18:00:00.000;12 557,5;Точка продаж 19
01.05.2022;2022-05-01 18:30:00.000;8 799,5;Точка продаж 19
01.05.2022;2022-05-01 19:00:00.000;12 740;Точка продаж 19
01.05.2022;2022-05-01 19:30:00.000;9 750;Точка продаж 19
01.05.2022;2022-05-01 20:00:00.000;5 375;Точка продаж 19
01.05.2022;2022-05-01 20:30:00.000;10 830;Точка продаж 19
01.05.2022;2022-05-01 21:00:00.000;4 625;Точка продаж 19
01.05.2022;2022-05-01 21:30:00.000;7 970;Точка продаж 19
01.05.2022;2022-05-01 22:00:00.000;7 852,5;Точка продаж 19
01.05.2022;2022-05-01 22:30:00.000;11 500;Точка продаж 19
01.05.2022;2022-05-01 23:00:00.000;3 500;Точка продаж 19
01.05.2022;2022-05-01 23:30:00.000;5 705;Точка продаж 19
01.05.2022;2022-05-01 00:00:00.000;1 711;Точка продаж 2
01.05.2022;2022-05-01 00:30:00.000;2 779;Точка продаж 2
01.05.2022;2022-05-01 01:00:00.000;8 122,5;Точка продаж 2
01.05.2022;2022-05-01 01:30:00.000;6 871,5;Точка продаж 2
01.05.2022;2022-05-01 02:00:00.000;2 799,5;Точка продаж 2
01.05.2022;2022-05-01 02:30:00.000;1 579,5;Точка продаж 2
01.05.2022;2022-05-01 05:00:00.000;687;Точка продаж 2
01.05.2022;2022-05-01 06:00:00.000;737;Точка продаж 2
01.05.2022;2022-05-01 06:30:00.000;2 156;Точка продаж 2
01.05.2022;2022-05-01 07:00:00.000;2 778;Точка продаж 2
01.05.2022;2022-05-01 07:30:00.000;2 618,5;Точка продаж 2
01.05.2022;2022-05-01 08:00:00.000;109,5;Точка продаж 2
01.05.2022;2022-05-01 08:30:00.000;1 045;Точка продаж 2
01.05.2022;2022-05-01 09:00:00.000;407,5;Точка продаж 2
01.05.2022;2022-05-01 09:30:00.000;910,5;Точка продаж 2
01.05.2022;2022-05-01 10:00:00.000;144,5;Точка продаж 2
01.05.2022;2022-05-01 10:30:00.000;1 662,5;Точка продаж 2
01.05.2022;2022-05-01 11:00:00.000;1 174,5;Точка продаж 2
01.05.2022;2022-05-01 11:30:00.000;1 350,5;Точка продаж 2
01.05.2022;2022-05-01 12:00:00.000;1 040;Точка продаж 2
01.05.2022;2022-05-01 12:30:00.000;607;Точка продаж 2
01.05.2022;2022-05-01 13:00:00.000;3 615,5;Точка продаж 2
01.05.2022;2022-05-01 13:30:00.000;4 530;Точка продаж 2
01.05.2022;2022-05-01 14:00:00.000;3 451,5;Точка продаж 2
01.05.2022;2022-05-01 14:30:00.000;3 231,5;Точка продаж 2
01.05.2022;2022-05-01 15:00:00.000;4 509;Точка продаж 2
01.05.2022;2022-05-01 15:30:00.000;1 911,5;Точка продаж 2
01.05.2022;2022-05-01 16:00:00.000;775,5;Точка продаж 2
01.05.2022;2022-05-01 16:30:00.000;1 364;Точка продаж 2
01.05.2022;2022-05-01 17:30:00.000;199,5;Точка продаж 2
01.05.2022;2022-05-01 18:00:00.000;884,5;Точка продаж 2
01.05.2022;2022-05-01 18:30:00.000;1 882,5;Точка продаж 2
01.05.2022;2022-05-01 19:00:00.000;766,5;Точка продаж 2
01.05.2022;2022-05-01 19:30:00.000;2 050,5;Точка продаж 2
01.05.2022;2022-05-01 20:00:00.000;728;Точка продаж 2
01.05.2022;2022-05-01 20:30:00.000;418;Точка продаж 2
01.05.2022;2022-05-01 21:30:00.000;811;Точка продаж 2
01.05.2022;2022-05-01 22:00:00.000;2 128,5;Точка продаж 2
01.05.2022;2022-05-01 22:30:00.000;2 799,5;Точка продаж 2
01.05.2022;2022-05-01 23:00:00.000;2 745;Точка продаж 2
01.05.2022;2022-05-01 23:30:00.000;353,5;Точка продаж 2
01.05.2022;2022-05-01 04:00:00.000;945;Точка продаж 20
01.05.2022;2022-05-01 07:00:00.000;4 900;Точка продаж 20
01.05.2022;2022-05-01 07:30:00.000;11 910;Точка продаж 20
01.05.2022;2022-05-01 08:00:00.000;2 100;Точка продаж 20
01.05.2022;2022-05-01 08:30:00.000;31 920;Точка продаж 20
01.05.2022;2022-05-01 09:00:00.000;10 245;Точка продаж 20
01.05.2022;2022-05-01 09:30:00.000;2 775;Точка продаж 20
01.05.2022;2022-05-01 10:00:00.000;8 750;Точка продаж 20
01.05.2022;2022-05-01 10:30:00.000;5 345;Точка продаж 20
01.05.2022;2022-05-01 11:00:00.000;5 505;Точка продаж 20
01.05.2022;2022-05-01 11:30:00.000;1 940;Точка продаж 20
01.05.2022;2022-05-01 12:00:00.000;7 970;Точка продаж 20
01.05.2022;2022-05-01 12:30:00.000;3 620;Точка продаж 20
01.05.2022;2022-05-01 13:00:00.000;2 520;Точка продаж 20
01.05.2022;2022-05-01 13:30:00.000;2 160;Точка продаж 20
01.05.2022;2022-05-01 14:00:00.000;13 960;Точка продаж 20
01.05.2022;2022-05-01 15:00:00.000;3 085;Точка продаж 20
01.05.2022;2022-05-01 15:30:00.000;8 805;Точка продаж 20
01.05.2022;2022-05-01 16:00:00.000;2 660;Точка продаж 20
01.05.2022;2022-05-01 16:30:00.000;3 040;Точка продаж 20
01.05.2022;2022-05-01 17:00:00.000;1 610;Точка продаж 20
01.05.2022;2022-05-01 17:30:00.000;6 355;Точка продаж 20
01.05.2022;2022-05-01 18:30:00.000;735;Точка продаж 20
01.05.2022;2022-05-01 19:30:00.000;2 055;Точка продаж 20
01.05.2022;2022-05-01 20:00:00.000;12 770;Точка продаж 20
01.05.2022;2022-05-01 21:00:00.000;2 900;Точка продаж 20
01.05.2022;2022-05-01 22:00:00.000;12 570;Точка продаж 20
01.05.2022;2022-05-01 10:00:00.000;668,5;Точка продаж 21
01.05.2022;2022-05-01 10:30:00.000;680;Точка продаж 21
01.05.2022;2022-05-01 11:00:00.000;1 823,5;Точка продаж 21
01.05.2022;2022-05-01 11:30:00.000;97;Точка продаж 21
01.05.2022;2022-05-01 12:00:00.000;351,5;Точка продаж 21
01.05.2022;2022-05-01 12:30:00.000;837;Точка продаж 21
01.05.2022;2022-05-01 15:30:00.000;625;Точка продаж 21
01.05.2022;2022-05-01 16:00:00.000;430;Точка продаж 21
01.05.2022;2022-05-01 17:00:00.000;370;Точка продаж 21
01.05.2022;2022-05-01 17:30:00.000;1 139;Точка продаж 21
01.05.2022;2022-05-01 18:30:00.000;470;Точка продаж 21
01.05.2022;2022-05-01 19:00:00.000;137;Точка продаж 21
01.05.2022;2022-05-01 19:30:00.000;22,5;Точка продаж 21
